n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.04,2,12,309
20|20|0.04,2,13,309
20|20|0.04,2,14,309
20|20|0.04,2,15,309
20|20|0.04,2,16,309
20|20|0.04,2,17,309
20|20|0.04,2,18,309
20|20|0.04,2,19,309
20|20|0.04,3,0,236
20|20|0.04,3,1,236
20|20|0.04,3,2,236
20|20|0.04,3,3,236
20|20|0.04,3,4,236
20|20|0.04,3,5,236
20|20|0.04,3,6,252
20|20|0.04,3,7,252
20|20|0.04,3,8,252
20|20|0.04,3,9,252
20|20|0.04,3,10,252
20|20|0.04,3,11,252
20|20|0.04,3,12,252
20|20|0.04,3,13,252
20|20|0.04,3,14,252
20|20|0.04,3,15,252
20|20|0.04,3,16,252
20|20|0.04,3,17,252
20|20|0.04,3,18,252
20|20|0.04,3,19,252
20|20|0.04,4,0,209
20|20|0.04,4,1,209
20|20|0.04,4,2,236
20|20|0.04,4,3,236
20|20|0.04,4,4,247
20|20|0.04,4,5,247
20|20|0.04,4,6,247
20|20|0.04,4,7,247
20|20|0.04,4,8,247
20|20|0.04,4,9,247
20|20|0.04,4,10,247
20|20|0.04,4,11,247
20|20|0.04,4,12,247
20|20|0.04,4,13,284
20|20|0.04,4,14,284
20|20|0.04,4,15,284
20|20|0.04,4,16,284
20|20|0.04,4,17,284
20|20|0.04,4,18,284
20|20|0.04,4,19,284
20|20|0.04,5,0,203
20|20|0.04,5,1,244
20|20|0.04,5,2,260
20|20|0.04,5,3,284
20|20|0.04,5,4,284
20|20|0.04,5,5,309
20|20|0.04,5,6,309
20|20|0.04,5,7,309
20|20|0.04,5,8,309
20|20|0.04,5,9,309
20|20|0.04,5,10,309
20|20|0.04,5,11,309
20|20|0.04,5,12,309
20|20|0.04,5,13,309
20|20|0.04,5,14,309
20|20|0.04,5,15,309
20|20|0.04,5,16,309
20|20|0.04,5,17,309
20|20|0.04,5,18,309
20|20|0.04,5,19,309
20|20|0.04,6,0,266
20|20|0.04,6,1,270
20|20|0.04,6,2,270
20|20|0.04,6,3,270
20|20|0.04,6,4,270
20|20|0.04,6,5,270
20|20|0.04,6,6,270
20|20|0.04,6,7,270
20|20|0.04,6,8,270
20|20|0.04,6,9,270
20|20|0.04,6,10,270
20|20|0.04,6,11,270
20|20|0.04,6,12,270
20|20|0.04,6,13,270
20|20|0.04,6,14,270
20|20|0.04,6,15,270
20|20|0.04,6,16,270
20|20|0.04,6,17,270
20|20|0.04,6,18,270
20|20|0.04,6,19,270
20|20|0.04,7,0,259
20|20|0.04,7,1,259
20|20|0.04,7,2,265
20|20|0.04,7,3,265
20|20|0.04,7,4,265
20|20|0.04,7,5,265
20|20|0.04,7,6,277
20|20|0.04,7,7,277
20|20|0.04,7,8,277
20|20|0.04,7,9,277
20|20|0.04,7,10,284
20|20|0.04,7,11,284
20|20|0.04,7,12,284
20|20|0.04,7,13,284
20|20|0.04,7,14,284
20|20|0.04,7,15,284
20|20|0.04,7,16,284
20|20|0.04,7,17,284
20|20|0.04,7,18,284
20|20|0.04,7,19,284
20|20|0.04,8,0,258
20|20|0.04,8,1,258
20|20|0.04,8,2,258
20|20|0.04,8,3,258
20|20|0.04,8,4,258
20|20|0.04,8,5,258
20|20|0.04,8,6,277
20|20|0.04,8,7,277
20|20|0.04,8,8,277
20|20|0.04,8,9,277
20|20|0.04,8,10,277
20|20|0.04,8,11,277
20|20|0.04,8,12,277
20|20|0.04,8,13,277
20|20|0.04,8,14,277
20|20|0.04,8,15,277
20|20|0.04,8,16,277
20|20|0.04,8,17,277
20|20|0.04,8,18,277
20|20|0.04,8,19,277
20|20|0.04,9,0,228
20|20|0.04,9,1,228
20|20|0.04,9,2,228
20|20|0.04,9,3,228
20|20|0.04,9,4,247
20|20|0.04,9,5,247
20|20|0.04,9,6,247
20|20|0.04,9,7,247
20|20|0.04,9,8,247
20|20|0.04,9,9,247
20|20|0.04,9,10,247
20|20|0.04,9,11,252
20|20|0.04,9,12,252
20|20|0.04,9,13,277
20|20|0.04,9,14,277
20|20|0.04,9,15,277
20|20|0.04,9,16,277
20|20|0.04,9,17,284
20|20|0.04,9,18,284
20|20|0.04,9,19,284
20|20|0.05,0,0,159
20|20|0.05,0,1,164
20|20|0.05,0,2,225
20|20|0.05,0,3,225
20|20|0.05,0,4,225
20|20|0.05,0,5,225
20|20|0.05,0,6,259
20|20|0.05,0,7,259
20|20|0.05,0,8,284
20|20|0.05,0,9,284
20|20|0.05,0,10,284
20|20|0.05,0,11,284
20|20|0.05,0,12,284
20|20|0.05,0,13,284
20|20|0.05,0,14,284
20|20|0.05,0,15,284
20|20|0.05,0,16,284
20|20|0.05,0,17,284
20|20|0.05,0,18,284
20|20|0.05,0,19,284
20|20|0.05,1,0,265
20|20|0.05,1,1,265
20|20|0.05,1,2,265
20|20|0.05,1,3,265
20|20|0.05,1,4,265
20|20|0.05,1,5,265
20|20|0.05,1,6,265
20|20|0.05,1,7,265
20|20|0.05,1,8,266
20|20|0.05,1,9,309
20|20|0.05,1,10,309
20|20|0.05,1,11,309
20|20|0.05,1,12,309
20|20|0.05,1,13,309
20|20|0.05,1,14,309
20|20|0.05,1,15,309
20|20|0.05,1,16,309
20|20|0.05,1,17,309
20|20|0.05,1,18,309
20|20|0.05,1,19,309
20|20|0.05,2,0,209
20|20|0.05,2,1,239
20|20|0.05,2,2,239
20|20|0.05,2,3,239
20|20|0.05,2,4,239
20|20|0.05,2,5,270
20|20|0.05,2,6,270
20|20|0.05,2,7,270
20|20|0.05,2,8,270
20|20|0.05,2,9,270
20|20|0.05,2,10,270
20|20|0.05,2,11,270
20|20|0.05,2,12,270
20|20|0.05,2,13,270
20|20|0.05,2,14,270
20|20|0.05,2,15,270
20|20|0.05,2,16,270
20|20|0.05,2,17,270
20|20|0.05,2,18,270
20|20|0.05,2,19,270
20|20|0.05,3,0,-6368
20|20|0.05,3,1,178
20|20|0.05,3,2,244
20|20|0.05,3,3,244
20|20|0.05,3,4,244
20|20|0.05,3,5,263
20|20|0.05,3,6,263
20|20|0.05,3,7,263
20|20|0.05,3,8,263
20|20|0.05,3,9,263
20|20|0.05,3,10,269
20|20|0.05,3,11,269
20|20|0.05,3,12,269
20|20|0.05,3,13,269
20|20|0.05,3,14,277
20|20|0.05,3,15,277
20|20|0.05,3,16,277
20|20|0.05,3,17,277
20|20|0.05,3,18,277
20|20|0.05,3,19,277
20|20|0.05,4,0,-4879
20|20|0.05,4,1,184
20|20|0.05,4,2,219
20|20|0.05,4,3,219
20|20|0.05,4,4,236
20|20|0.05,4,5,236
20|20|0.05,4,6,236
20|20|0.05,4,7,236
20|20|0.05,4,8,236
20|20|0.05,4,9,236
20|20|0.05,4,10,263
20|20|0.05,4,11,263
20|20|0.05,4,12,263
20|20|0.05,4,13,263
20|20|0.05,4,14,263
20|20|0.05,4,15,263
20|20|0.05,4,16,263
20|20|0.05,4,17,263
20|20|0.05,4,18,269
20|20|0.05,4,19,269
20|20|0.05,5,0,184
20|20|0.05,5,1,217
20|20|0.05,5,2,233
20|20|0.05,5,3,236
20|20|0.05,5,4,236
20|20|0.05,5,5,236
20|20|0.05,5,6,284
20|20|0.05,5,7,284
20|20|0.05,5,8,284
20|20|0.05,5,9,284
20|20|0.05,5,10,284
20|20|0.05,5,11,284
20|20|0.05,5,12,284
20|20|0.05,5,13,284
20|20|0.05,5,14,284
20|20|0.05,5,15,284
20|20|0.05,5,16,284
20|20|0.05,5,17,284
20|20|0.05,5,18,284
20|20|0.05,5,19,284
20|20|0.05,6,0,225
20|20|0.05,6,1,276
20|20|0.05,6,2,276
20|20|0.05,6,3,276
20|20|0.05,6,4,276
20|20|0.05,6,5,276
20|20|0.05,6,6,284
20|20|0.05,6,7,284
20|20|0.05,6,8,284
20|20|0.05,6,9,284
20|20|0.05,6,10,284
20|20|0.05,6,11,284
20|20|0.05,6,12,284
20|20|0.05,6,13,284
20|20|0.05,6,14,284
20|20|0.05,6,15,284
20|20|0.05,6,16,284
20|20|0.05,6,17,284
20|20|0.05,6,18,284
20|20|0.05,6,19,284
20|20|0.05,7,0,201
20|20|0.05,7,1,201
20|20|0.05,7,2,269
20|20|0.05,7,3,269
20|20|0.05,7,4,269
20|20|0.05,7,5,269
20|20|0.05,7,6,269
20|20|0.05,7,7,269
20|20|0.05,7,8,269
20|20|0.05,7,9,269
20|20|0.05,7,10,269
20|20|0.05,7,11,269
20|20|0.05,7,12,269
20|20|0.05,7,13,269
20|20|0.05,7,14,269
20|20|0.05,7,15,269
20|20|0.05,7,16,269
20|20|0.05,7,17,269
20|20|0.05,7,18,269
20|20|0.05,7,19,269
20|20|0.05,8,0,247
20|20|0.05,8,1,247
20|20|0.05,8,2,247
20|20|0.05,8,3,247
20|20|0.05,8,4,247
20|20|0.05,8,5,247
20|20|0.05,8,6,247
20|20|0.05,8,7,247
20|20|0.05,8,8,247
20|20|0.05,8,9,247
20|20|0.05,8,10,247
20|20|0.05,8,11,247
20|20|0.05,8,12,247
20|20|0.05,8,13,247
20|20|0.05,8,14,276
20|20|0.05,8,15,276
20|20|0.05,8,16,276
20|20|0.05,8,17,276
20|20|0.05,8,18,276
20|20|0.05,8,19,276
20|20|0.05,9,0,124
20|20|0.05,9,1,195
20|20|0.05,9,2,195
20|20|0.05,9,3,263
20|20|0.05,9,4,263
20|20|0.05,9,5,263
20|20|0.05,9,6,269
20|20|0.05,9,7,269
20|20|0.05,9,8,269
20|20|0.05,9,9,269
